LAND,KONTINENT,EW,FLÄCHE,HAUPTSTADT,HÖCHSTER BERG,HÖHE,SPRACHE,STAATSFORM,WÄHRUNG
Afghanistan,Asien,17200000,647500,Kabul,,7500,Paschtu,Demokratische Republik,Afghani
Ägypten,Afrika,45900000,1000000,Kairo,Gabal Katrina,2637,Arabisch,Präsidiale Republik,Ägypt. Pfund
Albanien,Europa,2800000,28748,Tirana,Jezerce,2694,Toskisch,Sozialistische Republik,Lek
Algerien,Afrika,21500000,2381741,Algier,Ahaggar,2918,Arabisch,Präsidiale Republik,Alger. Dinar
Andorra,Europa,42000,453,Andorra la Vella,Envalira,0,Französisch,Parlamentar. Monarchie,Peseta u. Franc
Angola,Afrika,8500000,1246700,Luanda,Serra Moco,2620,Portugiesisch,Präsidiale Republik,Kwanza
Antigua & Barbuda,Amerika,78000,442,Saint John's,-----,403,Englisch,Parlamentar. Monarchie,Ostkarib. Dollar
Äquatorialguinea,Afrika,320000,28050,Malabo,,2850,Spanisch,Präsidiale Republik,Ekuele
Argentinien,Amerika,29600000,2791810,Buenos Aires,Aconcagua,6958,Spanisch,Präsidiale Republik,Argentin. Peso
Äthiopien,Afrika,42000000,1221900,Addis-Abeba,Ras Daschän,4620,Amharisch,Sozialistische Republik,Birr
Australien,Ozeanien,15400000,7678700,Canberra,Mount Kosciusko,2230,Englisch,Parlamentar. Monarchie,Austral. Dollar
Bahamas,Amerika,226000,13939,Nassau,Mount Alvernia,125,Englisch,Parlamentar. Monarchie,Bahama-Dollar
Bahrain,Asien,384000,669,Al Manama,,0,Arabisch,Unabhängiges Emirat,Bahrain Dinar
Bangladesch,Asien,98700000,143998,Dacca,,0,Bengali,Präsidiale Demokratie,Taka
Barbados,Amerika,252000,431,Bridgetown,Mount Hillaby,340,Englisch,Parlamentar. Monarchie,Barbados-Dollar
Belgien,Europa,9860000,30518,Brüssel,Botrange,694,Niederländisch,Parlamentar. Monarchie,Belgische Franc
Belize,Amerika,157000,22965,Belmopan,Victoria Peak,1122,Englisch,Parlamentar. Republik,Belize-Dollar
Benin,Afrika,3830000,112622,Porto Novo,Atakora,640,Französisch,Präsidiale Republik,CFA-Franc
Bhutan,Asien,1300000,47000,Thimbu,,7553,Dzongkha,Konstitutionel. Monarchie,Ngultrum
Birma,Asien,35300000,676552,Rangun,,5885,Birmanisch,Sozialistische Republik,Kyat
Bolivien,Amerika,6300000,1098581,Sucre,Illimani,6882,Spanisch,Präsidiale Republik,Peso Boliviano
Botswana,Afrika,941000,600372,Gaborone,,1100,Tswana,Präsidiale Republik,Pula
BR Deutschland,Europa,78146100,357050,Bonn,Zugspitze,2962,Deutsch,Demokratische Republik,Deutsche Mark
Brasilien,Amerika,132600000,8511965,Brasilia,Pico da Neblina,3014,Portugiesisch,Präsidialdemokratie,Cruzeiro
Brunei,Asien,214000,5765,Bandar Seri Begawan,Crocker Range,185,Malaiisch,Sultanat,Brunei-Dollar
Bulgarien,Europa,8970000,110912,Sofia,Botew,2376,Bulgarisch,Sozialist. Volksrepublik,Lew
Burkina Faso,Afrika,6360000,274200,Ouagadougou,-----,750,Französisch,Militärdiktatur,CFA-Franc
Burundi,Afrika,4920000,27834,Bujumbura,-----,2670,Französisch,Präsidiale Republik,Burundi-Franc
Canada,Amerika,25400000,9922330,Ottawa,Mount Logan,5950,Englisch,Parlamentar. Monarchie,Canad. Dollar
Chile,Amerika,11700000,756626,Santiago de Chile,Ojos del Salado,6880,Spanisch,Präsidiale Republik,Chilen. Peso
China,Asien,1025000000,9597000,Peking,Mount Everest,8848,Chinesisch,Volksrepublik,Renmibi
Costa Rica,Amerika,2400000,51100,San Jose,Cordillera de Talamanca,3920,Spanisch,Präsidiale Republik,Costa-Rica-Colon
Dänemark,Europa,5120000,43076,Kopenhagen,-----,173,Dänisch,Parlamentar. Monarchie,Dän. Krone
Djibouti,Afrika,300000,22000,Djibouti,Danakil-Berge,1775,Arabisch,Präsidiale Republik,Djibouti-Franc
Dominica,Amerika,75000,751,Roseau,-----,1447,Englisch,Parlamentar. Republik,Ostkarib. Dollar
Dominikanische Republik,Amerika,6000000,48442,Santo Domingo,Pico Duarte,3175,Spanisch,Präsidialdemokratie,Dominikan. Peso
Ecuador,Amerika,8400000,283561,Quito,Chimborasso,6267,Spanisch,Präsidiale Republik,Sucre
El Salvador,Amerika,5200000,21041,San Salvador,-----,2700,Spanisch,Präsidiale Republik,El-Salvador Colon
Elfenbeinküste,Afrika,8500000,322463,Abidjan,Nimba,1752,Französisch,Zentralistische Republik,CFA-Franc
Fidschi,Ozeanien,690000,18272,Suva,Mount Victoria,1324,Englisch,Parlamentar. Monarchie,Fidschi-Dollar
Finnland,Europa,4900000,337032,Helsinki,Haltiantunturi,1324,Finnisch,Parlamentar. Republik,Finnmark
Frankreich,Europa,54500000,543965,Paris,Mont Blanc,4808,Französisch,Parlamentar. Republik,Franz. Franc
Gabun,Afrika,1370000,267667,Libreville,Massif du Chaillu,1500,Französisch,Zentralistische Republik,CFA-Franc
Gambia,Afrika,696000,11295,Banjul,-----,0,Englisch,Präsidiale Republik,Dalasi
Ghana,Afrika,1220000,238537,Accra,-----,0,Englisch,Militärdiktatur,Cedi
Grenada,Amerika,88000,344,Saint George's,Mount Saint Catherine,840,Englisch,Parlamentar. Monarchie,Ostkarib. Dollar
